stPoint: 24, ndPoint: 48, Hue: 24
stPoint: 25, ndPoint: 50, Hue: 25
stPoint: 26, ndPoint: 52, Hue: 26
stPoint: 27, ndPoint: 54, Hue: 27
stPoint: 28, ndPoint: 56, Hue: 28
stPoint: 29, ndPoint: 58, Hue: 29
stPoint: 30, ndPoint: 60, Hue: 30
stPoint: 31, ndPoint: 62, Hue: 31
stPoint: 32, ndPoint: 64, Hue: 32
stPoint: 33, ndPoint: 66, Hue: 33
stPoint: 34, ndPoint: 68, Hue: 34
stPoint: 35, ndPoint: 70, Hue: 35
stPoint: 36, ndPoint: 72, Hue: 36
stPoint: 37, ndPoint: 74, Hue: 37
stPoint: 38, ndPoint: 76, Hue: 38
stPoint: 39, ndPoint: 78, Hue: 39
stPoint: 40, ndPoint: 80, Hue: 40
stPoint: 41, ndPoint: 82, Hue: 41
stPoint: 42, ndPoint: 84, Hue: 42
stPoint: 43, ndPoint: 86, Hue: 43
stPoint: 44, ndPoint: 88, Hue: 44
stPoint: 45, ndPoint: 90, Hue: 45
stPoint: 46, ndPoint: 92, Hue: 46
stPoint: 47, ndPoint: 94, Hue: 47
stPoint: 48, ndPoint: 96, Hue: 48
stPoint: 49, ndPoint: 98, Hue: 49
stPoint: 50, ndPoint: 100, Hue: 50
stPoint: 51, ndPoint: 102, Hue: 51
stPoint: 52, ndPoint: 104, Hue: 52
stPoint: 53, ndPoint: 106, Hue: 53
stPoint: 54, ndPoint: 108, Hue: 54
stPoint: 55, ndPoint: 110, Hue: 55
stPoint: 56, ndPoint: 112, Hue: 56
stPoint: 57, ndPoint: 114, Hue: 57
stPoint: 58, ndPoint: 116, Hue: 58
stPoint: 59, ndPoint: 118, Hue: 59
stPoint: 60, ndPoint: 120, Hue: 60
stPoint: 61, ndPoint: 122, Hue: 61
stPoint: 62, ndPoint: 124, Hue: 62
stPoint: 63, ndPoint: 126, Hue: 63
stPoint: 64, ndPoint: 128, Hue: 64
stPoint: 65, ndPoint: 130, Hue: 65
stPoint: 66, ndPoint: 132, Hue: 66
stPoint: 67, ndPoint: 134, Hue: 67
stPoint: 68, ndPoint: 136, Hue: 68
stPoint: 69, ndPoint: 138, Hue: 69
stPoint: 70, ndPoint: 140, Hue: 70
